N,static-1,static-8,static-16,static-32,dynamic-1,dynamic-8,dynamic-16,dynamic-32,guided-1,guided-8,guided-16,guided-32,auto
1600,15,24,12,12,17,14,13,13,20,13,13,13,8
54140,121,121,121,119,192,132,125,122,124,123,124,126,92
106680,211,214,217,219,351,326,220,216,225,221,271,220,177
159220,304,310,303,303,504,336,321,309,319,391,315,317,260
211760,431,394,401,397,669,437,421,405,484,414,416,452,345
264300,489,486,488,486,821,604,508,507,527,506,509,513,442
316840,578,579,639,576,1009,645,609,639,660,671,603,632,523
369380,671,670,668,673,1190,757,704,688,704,704,762,697,658
421920,761,763,786,760,1347,869,801,858,800,853,800,826,742
474460,859,856,904,897,1467,966,973,971,924,895,896,888,878
