N,MP,NOMP
20,[11; 7; 0; 0; 0; 0; 0; 0; 0; 0],[0; 0; 0; 0; 0; 0; 0; 0; 0; 0]
1016,[20; 6; 5; 5; 5; 5; 5; 22; 18; 18],[1; 1; 1; 1; 1; 1; 1; 1; 1; 1]
2012,[11; 7; 7; 7; 7; 7; 7; 7; 7; 7],[4; 3; 3; 3; 3; 3; 3; 3; 3; 3]
3008,[37; 11; 12; 11; 11; 11; 11; 12; 11; 11],[6; 6; 6; 6; 6; 6; 6; 6; 6; 6]
4004,[33; 16; 16; 16; 19; 18; 27; 43; 17; 16],[8; 8; 8; 8; 8; 8; 8; 8; 8; 8]
5000,[29; 20; 20; 20; 21; 20; 20; 20; 21; 21],[11; 11; 11; 11; 11; 11; 11; 11; 11; 11]
5996,[80; 26; 25; 25; 25; 25; 25; 25; 25; 25],[14; 14; 14; 14; 14; 14; 15; 15; 15; 15]
6992,[43; 34; 32; 31; 30; 30; 30; 30; 29; 30],[18; 18; 18; 18; 18; 18; 18; 18; 18; 19]
7988,[35; 35; 35; 35; 36; 40; 35; 35; 35; 36],[22; 23; 22; 22; 22; 22; 22; 23; 22; 22]
8984,[45; 43; 79; 40; 40; 40; 41; 40; 41; 41],[26; 26; 26; 26; 26; 26; 27; 26; 26; 26]
9980,[46; 44; 45; 45; 53; 52; 45; 45; 45; 45],[31; 30; 30; 30; 30; 31; 30; 30; 30; 30]
